"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 14 13:45:00 MSK 2024","Wed Aug 14 13:45:07 MSK 2024","7381","","Переходы по страницам","","TransitionPageTest","transitionExitPersonalPageTest","Выход из личного кабинета","Выход из личного кабинета"
"passed","Wed Aug 14 13:44:23 MSK 2024","Wed Aug 14 13:44:29 MSK 2024","5941","","Авторизация пользователя","","LoginTest","userCanLoginTest","Вход через кнопку RECOVERY","Авторизация используя кнопку {0}"
"passed","Wed Aug 14 13:45:07 MSK 2024","Wed Aug 14 13:45:13 MSK 2024","5193","","Переходы по страницам","","TransitionPageTest","switchConstructTabsTest","Переключение по вкладкам в конструкторе","Переключение по вкладкам в конструкторе"
"passed","Wed Aug 14 13:44:36 MSK 2024","Wed Aug 14 13:44:40 MSK 2024","4513","","Регистрация нового пользователя","","RegistrationTest","registerWithShortPasswordTest","Проверка валидации на длину пароля при регистрации","Проверка валидации на длину пароля при регистрации"
"passed","Wed Aug 14 13:44:03 MSK 2024","Wed Aug 14 13:44:11 MSK 2024","8040","","Авторизация пользователя","","LoginTest","userCanLoginTest","Вход через кнопку HOME","Авторизация используя кнопку {0}"
"passed","Wed Aug 14 13:44:46 MSK 2024","Wed Aug 14 13:44:53 MSK 2024","6807","","Переходы по страницам","","TransitionPageTest","transitionConstructorPageTest","Вход через кнопку LOGO_STELLAR_BURGER","Переход из личного кабинета в конструктор заказов {0}"
"passed","Wed Aug 14 13:44:29 MSK 2024","Wed Aug 14 13:44:36 MSK 2024","6090","","Регистрация нового пользователя","","RegistrationTest","successRegistrationTest","Регистрация нового пользователя","Регистрация нового пользователя"
"passed","Wed Aug 14 13:44:40 MSK 2024","Wed Aug 14 13:44:46 MSK 2024","6412","","Переходы по страницам","","TransitionPageTest","transitionConstructorPageTest","Вход через кнопку CONSTRUCTOR","Переход из личного кабинета в конструктор заказов {0}"
"passed","Wed Aug 14 13:44:11 MSK 2024","Wed Aug 14 13:44:18 MSK 2024","6449","","Авторизация пользователя","","LoginTest","userCanLoginTest","Вход через кнопку LK","Авторизация используя кнопку {0}"
"passed","Wed Aug 14 13:44:18 MSK 2024","Wed Aug 14 13:44:23 MSK 2024","5831","","Авторизация пользователя","","LoginTest","userCanLoginTest","Вход через кнопку REGISTER","Авторизация используя кнопку {0}"
"passed","Wed Aug 14 13:44:53 MSK 2024","Wed Aug 14 13:45:00 MSK 2024","6773","","Переходы по страницам","","TransitionPageTest","transitionPersonalPageTest","Переход в личный кабинет","Переход в личный кабинет"
